"","ResortName","Continent","Country","Altitude","Easy","Intermediate","Difficult","Adult","Child","Youth","Currency","Ski_resort_size","Variety","Liftsandcable.cars","Snowreliability","Slopepreparation","Environmental","Friendliness","Access_Park","Food","Accommodations","Families","Beginners","AdvancedSkiers","Snowparks","Cross_skiing"
"95","alpe-di-siusi-seiser-alm","Europe","Italy",2220,14,45,1,63.039630914635,0,44.3612217547431,"Euro",3,4,4,4,5,4,4,3,4,5,5,5,2,5,5
"98","alpe-lusia-moenabellamonte","Europe","Italy",2340,12.9,10.6,4,56.0352274796756,0,38.5242188922769,"Euro",3,4,5,5,5,4,4,3,4,2,5,4,3,4,3
"106","alpine-meadows","North America","USA",2632,25,40,35,159,98,134,"US Dollar",3,5,4,5,5,3,4,3,3,1,4,4,5,5,1
"109","alpine-snowsports-aldershot","Europe","United Kingdom",111,0.1,0,0,0,0,0,"-",1,2,1,1,1,3,3,4,2,1,3,2,2,2,1
"121","alta-badia","Europe","Italy",2550,70,52,8,63.039630914635,0,44.3612217547431,"Euro",5,5,4,4,5,4,4,2,5,5,5,5,3,5,3
"123","altastenberg","Europe","Germany",800,4.1,2.7,4.1,29.185014312331,18.6784091598919,23.3480114498648,"Euro",2,3,2,2,3,3,3,3,3,3,3,4,2,1,4
"127","altenseelbach","Europe","Germany",342,0.2,0.2,0,0,0,0,"-",1,1,1,1,1,3,4,4,2,1,2,2,1,1,1
"148","am-ried-farchant","Europe","Germany",772,0.6,0,0,14.0088068699189,8.17180400745269,0,"Euro",1,1,1,2,3,3,3,5,1,1,3,3,1,1,3
"162","amneville-les-thermes-snowhall","Europe","France",280,0.7,0,0,81.7180400745269,60.7048297696485,0,"Euro",1,2,1,5,3,1,3,5,3,1,3,5,1,3,1
"173","ankogel-mallnitz","Europe","Austria",2636,2.8,5,5,54.2841266209357,28.0176137398378,28.0176137398378,"Euro",2,4,2,4,5,4,4,3,3,3,4,3,4,1,4
"197","arabba","Europe","Italy",2478,32,22,8,58.370028624662,40.8590200372634,0,"Euro",5,5,4,4,5,3,3,2,4,4,3,3,4,2,1
"200","arapahoe-basin","North America","USA",3790,40,25,40,100,52,85,"US Dollar",3,5,3,5,4,4,4,4,3,1,3,3,5,5,1
"203","arber","Europe","Germany",1456,4.5,4,3,38.5242188922769,29.185014312331,36.1894177472905,"Euro",2,3,4,4,4,4,4,3,4,2,5,5,3,3,4
"204","arcalis-ordino-vallnord","Europe","Andorra",2625,13,14,3,44.2444816974938,36.0726776900411,0,"Euro",3,4,4,5,4,4,4,2,3,1,4,4,5,3,1
"207","archenstadel-rinn","Europe","Austria",1004,1,0,0,16.3436080149054,11.0903054386858,0,"Euro",1,1,1,3,4,3,4,5,2,1,4,4,1,3,3
"226","arosa-lenzerheide","Europe","Switzerland",2865,111,87,27,75.7162759706827,25.2387586568942,50.4775173137884,"Swiss Franc",5,5,4,5,5,4,4,3,5,5,5,5,5,5,4
"253","aspen-highlands","North America","USA",3559,24.3,40.5,70.2,169,112,0,"US Dollar",4,5,4,5,4,4,5,2,4,4,2,3,5,2,3
"254","aspen-mountain","North America","USA",3418,0,49,54,169,112,0,"US Dollar",3,4,4,4,5,4,5,2,3,4,1,1,5,1,3
"267","auf-der-rieder-eschenlohe","Europe","Germany",700,0.5,0.2,0.3,8.17180400745269,4.66960228997296,5.8370028624662,"Euro",1,2,1,1,2,3,4,5,2,1,3,3,2,1,3
"270","auron-saint-etienne-de-tinee","Europe","France",2450,60,45,30,40.2753197510168,30.9361151710709,33.854616602304,"Euro",4,4,3,4,4,3,3,2,4,4,4,4,4,3,2
"282","axamer-lizum","Europe","Austria",2340,7,21,2,44.9449220409898,26.8502131673445,36.1894177472905,"Euro",3,4,3,4,5,4,4,4,4,3,3,4,5,4,2
"297","bad-gasteinbad-hofgastein-schlossalmangertalstubnerkogel","Europe","Austria",2300,30.6,52.8,2.6,60.7048297696485,30.3524148848243,46.6960228997296,"Euro",4,5,4,4,5,4,4,4,5,3,5,4,5,4,3
"299","bad-kleinkirchheimst-oswald","Europe","Austria",2055,18,77,8,54.8678269071823,27.4339134535912,44.3612217547431,"Euro",4,4,3,4,4,4,3,4,5,4,5,3,4,3,3
"321","balderschwang-hochschelpenriedberger-horn","Europe","Germany",1500,10.5,16,4.5,36.1894177472905,18.6784091598919,29.185014312331,"Euro",3,3,3,4,4,4,2,3,4,3,4,4,3,2,4
"338","bansko","Europe","Bulgaria",2560,20,24.5,3.7,34.6443015798399,23.8926217791999,31.0604083129599,"Bulgarian Lev",3,4,5,4,5,3,3,3,4,4,3,4,4,4,2
"340","baqueiraberet","Europe","Spain",2510,79,53,20,60.1211294834019,39.6916194647702,0,"Euro",5,5,4,5,4,3,4,3,4,4,5,5,4,4,3
"357","bawadi-mall-al-ain","Asia","United Arab Emirates",275,0.1,0,0,0,0,0,"-",1,1,1,1,1,2,3,5,2,1,3,3,1,1,1
"370","beaver-creek","North America","USA",3488,28.5,64.5,57,189,130,0,"US Dollar",4,5,4,5,5,3,5,4,4,5,5,5,5,5,3
"382","beitostoelen-skisenter","Europe","Norway",1107,9,3,0,49.0105985419347,37.9832138699994,0,"Norwegian krone",2,2,3,4,4,3,3,3,3,3,4,5,1,3,5
"387","belchen","Europe","Germany",1356,6,2,0,29.185014312331,17.5110085873986,0,"Euro",2,2,3,3,4,4,4,3,3,3,3,3,2,1,3
"394","bellwald","Europe","Switzerland",2558,9,21,6,51.4870676600642,36.3438124659277,46.4393159286854,"Swiss Franc",3,3,3,5,5,4,4,3,3,3,4,4,4,3,1
"397","belpiano-schoeneben-resia-reschen","Europe","Italy",2390,22,13,5,47.8634234722229,28.6013140260844,45.5286223272364,"Euro",3,4,5,5,5,4,5,3,4,2,5,4,4,5,3
"398","belvederecol-rodellaciampacbuffaure-canazeicampitelloalbapozza-di-fassa","Europe","Italy",2428,7.3,40.7,7.2,58.370028624662,0,40.8590200372634,"Euro",5,5,4,5,5,4,4,3,5,4,4,2,4,4,4
"410","bergeralm-steinach-am-brenner","Europe","Austria",2180,10,10,9,44.9449220409898,23.9317117361114,30.3524148848243,"Euro",3,4,4,4,5,4,4,4,3,2,4,3,3,1,5
"421","berwangbichlbachrinnen","Europe","Austria",1743,24.5,10,1.5,50.1982246172094,25.0991123086047,44.3612217547431,"Euro",3,3,4,4,4,4,4,4,4,4,5,5,2,2,4
"427","beuerberg","Europe","Germany",630,1,0,0,0,0,0,"-",1,1,1,2,3,2,3,4,1,1,3,3,1,1,1
"429","bialka-tatrzanska-kotelnicakaniowkabania","Europe","Poland",910,14.4,3.9,0,26.4520647172475,25.3832944256415,0,"Polish zloty",2,3,4,4,5,4,4,3,3,2,4,5,1,3,2
"432","bialy-potok","Europe","Poland",960,1,0,0,9.35174005155213,0,0,"Polish zloty",1,1,1,3,4,3,4,3,2,1,3,3,1,1,1
"436","biberwier-marienberg","Europe","Austria",1820,7.3,3.7,0,51.3656251897026,25.6828125948513,44.9449220409898,"Euro",2,3,3,4,4,4,4,4,4,3,4,4,2,2,4
"453","big-white","North America","Canada",2285,18.9,56.7,29.4,79.8814407264494,47.1680888099035,67.7090307109905,"Canadian Dollar",4,5,4,4,5,4,5,3,4,5,5,5,4,5,3
"469","bischofsreut","Europe","Germany",1000,0.5,0,0,9.92290486619255,6.42070314871282,0,"Euro",1,1,1,1,3,3,3,2,2,1,3,3,1,1,4
"486","blaesiberg-wiesensteig","Europe","Germany",761,2.6,1.2,0.4,22.1806108773716,18.6784091598919,18.6784091598919,"Euro",1,3,2,1,3,3,3,5,2,1,3,3,2,1,2
"487","blafjoell","Europe","Iceland",700,10,5,0,34.5322776131729,8.70402613811481,13.2452571666964,"Icelandic krona",2,3,3,4,4,4,3,3,2,1,3,4,2,3,4
"492","bleaml-alm-neubau-fichtelberg","Europe","Germany",850,0.3,0,0,15.1762074424121,11.6740057249324,0,"Euro",1,1,1,3,4,3,4,3,3,1,3,3,1,1,5
"524","bolton-valley","North America","USA",960,15,10,5,74,64,0,"US Dollar",3,4,2,4,4,4,4,4,2,3,3,4,3,5,3
"533","bormio-cima-bianca","Europe","Italy",3012,14,34,2,47.8634234722229,24.5154120223581,39.6916194647702,"Euro",3,4,4,5,4,3,4,1,3,3,4,3,4,3,2
"535","borovets","Europe","Bulgaria",2560,24,29,5,32.8523549463999,17.9194663343999,23.8926217791999,"Bulgarian Lev",3,4,3,3,3,2,3,3,2,3,3,3,4,2,2
"546","bottrop-alpincenter","Europe","Germany",113,0.4,0.2,0,60.7048297696485,40.8590200372634,0,"Euro",1,1,1,5,4,3,2,4,3,1,4,3,1,2,1
"555","bozi-dar-neklid","Europe","Czech Republic",1135,2.2,3.7,0.3,24.7081074038967,17.5202943409449,0,"Czech koruna",2,3,2,3,4,3,4,4,2,2,2,2,2,3,3
"568","brandnertal-brandbuerserberg","Europe","Austria",2000,22,30,3,55.4515271934289,33.2709163160574,0,"Euro",3,4,4,4,4,4,4,4,4,4,4,3,3,4,4
"574","brauneck-lenggrieswegscheid","Europe","Germany",1712,8,22,4,42.0264206097567,22.1806108773716,38.5242188922769,"Euro",3,4,3,3,4,4,4,4,4,2,5,4,3,1,4
"578","breckenridge","North America","USA",3914,28,60,65,164,107,0,"US Dollar",4,5,4,5,4,3,5,3,4,5,5,5,5,5,3
"591","breventflegere-chamonix","Europe","France",2525,11,25,20,60.1211294834019,51.1321450752039,0,"Euro",3,5,3,4,4,4,3,4,4,3,4,4,5,3,1
"597","brigelswaltensburgandiast","Europe","Switzerland",2418,13.5,33,3.5,56.5348193914431,30.2865103882731,48.4584166212369,"Swiss Franc",3,4,4,4,5,4,4,3,4,3,5,3,4,4,3
"633","buchensteinwand-pillersee-st-ulrich-am-pillerseest-jakob-in-haushochfilzen","Europe","Austria",1456,9.3,7.7,2.5,41.4427203235101,23.9317117361114,32.6872160298107,"Euro",2,3,3,4,4,3,3,3,3,3,5,3,3,1,5
"647","buerchentoerbel-moosalp","Europe","Switzerland",2550,5,15,5,44.4202152361338,30.2865103882731,37.3533628122035,"Swiss Franc",3,4,2,4,4,3,4,3,5,3,4,3,4,1,3
"663","burbach","Europe","Germany",520,0.6,0,0,15.1762074424121,11.6740057249324,0,"Euro",1,1,1,1,3,2,4,5,2,1,2,3,1,1,1
"666","burglift-stans","Europe","Austria",690,0.5,0,0,23.3480114498648,15.1762074424121,0,"Euro",1,2,1,3,4,4,4,5,3,3,3,3,1,3,2
"674","buttermilk-mountain","North America","USA",3018,11.9,13.3,8.8,169,112,0,"US Dollar",3,4,4,4,5,4,5,3,3,2,4,5,2,5,3
"706","canada-olympic-park-calgary","North America","Canada",1246,3.5,0.5,0,34.9880710381848,14.4471291370979,22.0548853967597,"Canadian Dollar",1,2,4,4,4,3,4,5,2,1,4,5,1,5,2
"721","carezza-ski","Europe","Italy",2337,19,16.2,4.8,51.9493254759492,21.0132103048783,38.5242188922769,"Euro",3,4,4,4,5,4,5,3,4,4,5,5,4,4,3
"733","castle-mountain","North America","Canada",2273,9,20,65,63.9051525811595,25.8663712828503,56.2973963214977,"Canadian Dollar",3,5,3,4,4,4,5,3,2,3,3,4,5,4,2
"820","chill-factore-manchester","Europe","United Kingdom",50,0.2,0,0,77.9084615191622,0,0,"UK Pound",1,1,1,5,3,1,2,4,3,1,3,3,1,1,1
"838","christlum-achenkirch","Europe","Austria",1800,6,16,5,51.3656251897026,26.8502131673445,0,"Euro",2,3,4,4,4,3,3,4,3,3,4,2,3,3,5
"899","cortina-dampezzo","Europe","Italy",2924,45,55,20,63.039630914635,44.3612217547431,57.2026280521688,"Euro",4,5,3,4,5,4,4,3,5,3,4,5,5,3,3
"901","corvatschfurtschellas","Europe","Switzerland",3303,13,89.3,17.7,79.7544773557857,26.5511741070527,53.203303248733,"Swiss Franc",4,5,3,5,5,4,4,3,4,3,3,3,5,5,5
"909","crans-montana","Europe","Switzerland",2927,55,70,15,69.658973893028,39.372463504755,52.49661800634,"Swiss Franc",4,5,3,4,4,3,3,3,4,4,4,3,4,5,3
"930","cypress-mountain","North America","Canada",1440,6.6,22,22.4,57.0581719474639,25.8663712828503,41.081883802174,"Canadian Dollar",3,4,4,5,4,3,4,3,3,1,3,4,4,5,3
"942","dachstein-glacier-dachsteingletscher","Europe","Austria",2700,0,4,1,56.0352274796756,28.0176137398378,42.0264206097567,"Euro",2,2,2,5,5,4,3,3,2,2,3,2,3,5,3
"943","dachstein-west-gosaurussbachannaberg","Europe","Austria",1620,15,33,3,51.0154050179546,21.596910591125,32.1035157435641,"Euro",4,4,4,4,4,4,4,4,5,4,5,3,4,4,4
"958","damuels-mellau","Europe","Austria",2050,29.7,48,1.7,58.370028624662,33.2709163160574,54.2841266209357,"Euro",4,4,5,5,5,4,4,3,4,4,5,4,5,4,3
"975","de-uithof","Europe","Netherlands",30,0.3,0,0,32.1035157435641,25.6828125948513,0,"Euro",1,1,1,5,3,2,3,5,3,1,3,3,1,3,1
"997","diavolezzalagalb","Europe","Switzerland",3006,0.3,21,10.7,67.6398732004765,22.5129727219496,45.1269004785269,"Swiss Franc",3,4,3,5,5,4,4,3,4,2,2,2,5,1,5
"1000","diedamskopf-schoppernau","Europe","Austria",2060,13,18,9,50.1982246172094,28.6013140260844,44.3612217547431,"Euro",3,4,4,4,4,3,4,3,3,3,5,3,4,4,4
"1005","disentis-3000","Europe","Switzerland",2833,20,30,10,56.5348193914431,28.2674096957215,42.4011145435823,"Swiss Franc",3,4,3,4,4,5,4,3,3,3,4,4,5,2,3
"1042","donnstetten-roemerstein","Europe","Germany",854,1,0,0,21.0132103048783,17.5110085873986,0,"Euro",1,1,2,3,4,3,3,4,2,1,3,4,1,1,3
"1043","donovaly-park-snow","Europe","Slovakia",1361,5,5.9,0.1,32.6872160298107,23.3480114498648,25.6828125948513,"Euro",2,3,3,4,4,4,3,4,3,4,5,4,2,4,3
"1104","ehrwalder-alm-ehrwald","Europe","Austria",1923,18.1,7.4,2,51.3656251897026,25.6828125948513,44.9449220409898,"Euro",3,3,5,4,4,4,3,4,4,2,5,5,3,4,4
"1131","elm-im-sernftal","Europe","Switzerland",2105,15,20,5,48.4584166212369,24.2292083106185,36.3438124659277,"Swiss Franc",3,4,3,4,5,3,5,4,4,3,4,4,4,3,3
"1170","espace-diamant-les-saisiesnotre-dame-de-bellecombepraz-sur-arlyflumetcrest-voland","Europe","France",2069,132,49,11,46.9295030142283,37.5902984342824,0,"Euro",5,5,3,4,4,4,4,4,4,4,5,5,4,3,4
"1190","fahlenscheid-olpe","Europe","Germany",593,1.2,0.8,0,23.3480114498648,18.6784091598919,0,"Euro",1,2,2,2,4,3,4,4,2,2,3,4,1,1,1
"1205","fanningberg","Europe","Austria",2115,11.1,5.8,7.1,47.8634234722229,23.9317117361114,35.0220171747972,"Euro",3,3,4,4,4,3,3,3,4,3,4,4,3,2,2
"1213","feldberg-seebuckgrafenmattfahl","Europe","Germany",1448,7,14,5,42.0264206097567,21.0132103048783,28.0176137398378,"Euro",3,3,4,3,4,4,3,3,3,3,4,5,3,4,4
"1216","feldthurns-velturno","Europe","Italy",1165,1,0.5,0,17.5110085873986,12.8414062974256,0,"Euro",1,2,1,3,4,3,4,4,2,1,2,3,1,1,1
"1219","fellhornkanzelwand-oberstdorfriezlern","Europe","Austria",1967,13,19,2,54.8678269071823,21.0132103048783,42.0264206097567,"Euro",3,4,4,4,5,4,3,4,4,3,4,3,4,5,5
"1223","fernie","North America","Canada",2134,42,58,42,79.8434019451511,31.9145375092815,60.0632356700303,"Canadian Dollar",4,5,3,4,5,3,5,4,4,4,4,4,5,4,3
"1224","feuerkogel-ebensee","Europe","Austria",1625,4,5,1,44.0110015829952,18.5616691026425,29.0682742550817,"Euro",2,3,3,4,4,3,3,4,4,3,4,5,3,2,2
"1225","fichtelberg-oberwiesenthal","Europe","Germany",1215,6.8,6.1,2.6,30.3524148848243,24.5154120223581,0,"Euro",2,3,3,3,4,3,4,3,3,4,4,3,2,4,4
"1242","flachauwagrainalpendorf-snow-space-salzburg","Europe","Austria",1980,30,81,4,60.1211294834019,30.3524148848243,44.9449220409898,"Euro",5,5,5,4,4,4,4,5,5,5,5,3,3,5,4
"1243","flachauwinklkleinarl-shuttleberg","Europe","Austria",1980,19,7,2,60.1211294834019,30.3524148848243,44.9449220409898,"Euro",3,3,5,4,4,3,4,5,4,4,4,3,3,5,3
"1244","fleckllift-warmensteinach","Europe","Germany",690,0.3,0,0,12.8414062974256,11.0903054386858,11.0903054386858,"Euro",1,1,1,2,4,4,4,4,2,1,3,3,1,1,4
"1249","flumserberg","Europe","Switzerland",2222,10,38,17,58.5539200839946,29.2769600419973,38.3629131584792,"Swiss Franc",4,4,4,4,5,4,4,4,4,3,4,3,5,4,3
"1253","folgariafiorentini","Europe","Italy",1850,36.4,32,5.6,45.5286223272364,24.5154120223581,32.6872160298107,"Euro",4,4,4,4,5,4,4,3,4,3,5,5,3,3,4
"1262","formigal","Europe","Spain",2251,47,70,20,52.5330257621958,42.0264206097567,0,"Euro",4,5,4,4,5,3,4,3,4,2,4,5,5,4,1
"1294","fuessener-joechle-graen","Europe","Austria",1821,3,5.5,0.5,43.1938211822499,26.2665128810979,35.0220171747972,"Euro",2,3,4,3,4,3,3,3,3,2,4,3,2,1,5
"1313","gaalaa","Europe","Norway",1148,13,5,1,45.3348036512896,35.5326839429027,0,"Norwegian krone",2,3,2,5,4,3,3,3,3,4,4,5,2,4,5
"1333","galtuer-silvapark","Europe","Austria",2300,6,25,12,46.6960228997296,27.4339134535912,27.4339134535912,"Euro",3,4,4,4,5,4,4,3,4,4,5,3,4,4,4
"1339","gargellen","Europe","Austria",2300,20.8,5.3,2,55.4515271934289,31.8700356290655,0,"Euro",3,4,4,4,4,4,4,3,4,4,4,5,4,2,1
"1340","garmisch-classic-garmisch-partenkirchen","Europe","Germany",2050,13.9,19.5,16,50.1982246172094,27.4339134535912,40.2753197510168,"Euro",3,4,4,3,4,4,4,4,4,2,4,3,4,3,2
"1343","gaustablikk-rjukan","Europe","Norway",1250,22,8,4,49.6232310237089,39.2084788335478,0,"Norwegian krone",3,4,3,5,4,4,3,2,2,3,3,5,4,4,5
"1346","gazprom-mountain-resort-laura-esto-sadok-sotschi","Russia","Southern Russia",1800,7.3,10.6,2.4,34.1382009644439,19.8477912583976,0,"Russian ruble",2,3,4,4,4,2,3,4,4,3,4,4,2,1,3
"1353","geilolia-kikut-geilo","Europe","Norway",1076,8,4,1.6,50.2358635054831,39.8211113153219,0,"Norwegian krone",2,3,4,5,5,3,3,2,4,4,5,5,2,4,5
"1354","geilosiden-geilo","Europe","Norway",1178,10,8,2.6,50.2358635054831,39.8211113153219,0,"Norwegian krone",2,4,3,5,5,4,3,2,3,4,3,3,3,5,5
"1356","geisskopf-bischofsmais","Europe","Germany",1116,1.8,5.3,0.9,28.0176137398378,18.6784091598919,0,"Euro",2,3,2,3,4,3,3,4,3,1,4,3,2,3,4
"1359","gemsstock-andermatt","Europe","Switzerland",2961,4,10,17,0,0,0,"-",3,4,3,5,4,3,3,4,2,3,2,2,5,1,3
"1366","gerlitzen","Europe","Austria",1911,10.5,27.8,3.3,53.7004263346891,26.8502131673445,43.1938211822499,"Euro",3,3,4,4,4,4,4,5,4,4,4,3,3,3,3
"1367","gerlossteinramsberg-hainzenberg","Europe","Austria",1836,1,8,1,60.7048297696485,27.3171733963418,48.5638638157188,"Euro",2,3,2,3,4,4,3,3,3,3,3,2,2,1,1
"1380","gitschberg-jochtal","Europe","Italy",2510,17.3,25.1,9.3,53.7004263346891,0,38.5242188922769,"Euro",3,4,4,4,5,4,4,4,5,4,5,4,4,4,3
"1400","glungezer-tulfes","Europe","Austria",2304,7,15.5,0.5,34.4383168885506,21.0132103048783,28.0176137398378,"Euro",2,4,2,3,4,4,4,4,4,2,3,3,3,4,3
"1419","golm","Europe","Austria",2110,13,12,1.5,55.4515271934289,32.1035157435641,0,"Euro",3,4,4,4,5,4,5,5,4,3,4,3,4,1,1
"1437","graechen","Europe","Switzerland",2864,9,33,2,56.5348193914431,33.3151614271004,45.4297655824096,"Swiss Franc",3,4,3,4,5,3,4,2,3,3,5,3,2,3,2
"1450","grand-tourmaletpic-du-midi-la-mongiebareges","Europe","France",2500,58,35,7,50.1982246172094,43.7775214684965,0,"Euro",4,4,4,4,4,3,4,3,3,4,4,5,4,3,1
"1454","grands-montets-argentiere-chamonix","Europe","France",3275,6,9,14,74.1299363533208,63.039630914635,0,"Euro",3,4,3,5,4,4,3,4,3,2,3,3,5,3,3
"1455","grandvalira-pas-de-la-casagrau-roigsoldeuel-tartercanilloencamp","Europe","Andorra",2640,100,77,33,57.2026280521688,40.2753197510168,52.5330257621958,"Euro",5,5,4,5,4,4,5,3,4,5,5,5,5,5,3
"1467","grebenzen-st-lambrecht","Europe","Austria",1870,2.9,9,0.3,40.8590200372634,23.3480114498648,32.6872160298107,"Euro",2,3,2,3,4,4,3,3,4,2,3,4,1,1,3
"1475","greising-deggendorf","Europe","Germany",870,0.5,0,0,19.8458097323851,16.3436080149054,0,"Euro",1,1,1,2,3,4,3,4,2,2,3,3,1,2,3
"1489","grossarltaldorfgastein","Europe","Austria",2033,25.5,43.1,1.5,60.1211294834019,30.3524148848243,45.5286223272364,"Euro",4,4,5,4,5,3,3,4,5,4,5,4,4,4,3
"1491","grosseckspeiereck-mauterndorfst-michael","Europe","Austria",2400,26,17,7,47.8634234722229,23.9317117361114,35.0220171747972,"Euro",3,4,4,4,5,3,4,4,4,2,5,4,3,1,4
"1494","grossglockner-heiligenblut","Europe","Austria",2989,20,34,1,51.3656251897026,25.6828125948513,40.8590200372634,"Euro",3,4,3,5,4,4,4,3,4,3,3,3,5,2,3
"1495","grossglockner-resort-kals-matrei","Europe","Austria",2422,8.5,22.5,6,54.2841266209357,28.0176137398378,28.0176137398378,"Euro",3,5,4,4,5,4,4,3,5,4,5,4,5,3,4
"1496","grouse-mountain","North America","Canada",1250,5.2,14.4,13.4,47.9288644358697,21.3017175270532,34.2349031684783,"Canadian Dollar",2,3,4,5,4,5,4,5,3,1,3,3,3,5,1
"1498","gruen-maibrunn-st-englmar","Europe","Germany",820,1.8,0,0,21.0132103048783,16.3436080149054,16.3436080149054,"Euro",1,1,2,3,4,3,3,4,2,2,3,3,1,2,4
"1509","gschwandtkopf-seefeld","Europe","Austria",1500,5,0,0,47.2797231859763,31.5198154573175,44.3612217547431,"Euro",2,2,2,4,5,3,4,4,4,3,4,4,2,1,5
"1547","hafjell","Europe","Norway",1030,33,7,4,52.6863934325798,42.8842737241929,0,"Norwegian krone",3,4,4,5,4,3,3,5,3,4,4,5,3,5,5
"1553","hahnenkamm-hoefenreutte","Europe","Austria",1900,5,9,2,42.0264206097567,25.6828125948513,33.854616602304,"Euro",2,3,4,4,4,4,4,4,3,2,3,3,3,2,4
"1554","haider-alm-st-valentin-auf-der-haide-san-valentino-alla-muta","Europe","Italy",2600,2,13,5,47.8634234722229,29.7687145985776,46.6960228997296,"Euro",2,3,3,4,5,3,3,3,2,3,3,2,3,1,4
"1568","halde-westerheim","Europe","Germany",820,2,0,0,18.6784091598919,15.1762074424121,0,"Euro",1,1,1,1,3,4,4,5,2,1,3,4,1,1,3
"1585","hanslmuehle-mauern","Europe","Germany",460,0.7,0.3,0,0,0,0,"-",1,2,1,1,2,3,3,4,2,1,3,3,1,1,1
"1592","harenda","Europe","Poland",997,2.1,1,0.9,25.3832944256415,24.0473315611341,0,"Polish zloty",1,3,3,3,4,3,3,3,3,1,2,3,2,2,1
"1617","hausberglift-waidring","Europe","Austria",900,1.5,0,0,31.5198154573175,16.3436080149054,0,"Euro",1,1,1,3,4,4,3,3,2,2,3,4,1,3,4
"1624","hawran-jurgow","Europe","Poland",1046,1.3,2.3,1,26.4520647172475,24.0473315611341,25.3832944256415,"Polish zloty",2,3,3,3,4,4,3,3,3,1,3,3,2,1,1
"1627","heavenly","North America","USA",3060,18,42,34,152,90,125,"US Dollar",4,5,4,5,5,4,4,3,4,4,4,4,5,5,1
"1628","hedelands-skicenter","Europe","Denmark",78,0.4,0,0.1,20.3678113376638,12.5340377462547,0,"Danish Krone",1,1,1,2,1,4,5,4,1,1,2,3,1,1,1
"1645","hempelsberggeiersberg-oberwarmensteinach","Europe","Germany",770,1.3,0.7,0,21.0132103048783,16.3436080149054,16.3436080149054,"Euro",1,2,1,3,4,3,4,4,3,2,2,3,1,3,4
"1646","hemsedal","Europe","Norway",1450,29.2,10.8,4.1,52.6863934325798,41.6590087606445,0,"Norwegian krone",3,5,4,5,5,3,3,3,4,4,5,4,5,5,4
"1660","hesselberg","Europe","Germany",610,0.4,0,0,11.6740057249324,9.33920457994593,0,"Euro",1,1,1,1,3,3,4,3,2,1,3,3,1,2,2
"1665","heutal-unken","Europe","Austria",1531,6,5,0,30.9361151710709,15.1762074424121,24.5154120223581,"Euro",2,2,2,4,4,3,3,3,3,2,3,2,1,1,4
"1697","hinterstoder-hoess","Europe","Austria",2000,12,18,10,50.781924903456,28.0176137398378,40.8590200372634,"Euro",3,4,4,4,4,4,4,4,4,4,5,4,4,4,3
"1698","hintertux-glacier-hintertuxer-gletscher","Europe","Austria",3250,14,35,11,60.7048297696485,27.4339134535912,48.4471237584695,"Euro",4,4,4,5,4,4,4,3,4,4,3,3,4,5,2
"1708","hirschberglifte-kreuth","Europe","Germany",1196,0.8,0.8,0.8,22.1806108773716,17.5110085873986,0,"Euro",1,2,1,3,3,3,3,3,2,1,4,3,2,2,3
